country,region
China,CN
Hong Kong,CN
Poland,EU
United Kingdom,UK
Germany,EU
United States,US
Ukraine,EU
Singapore,CN
Italy,EU
Czechia,EU
Nepal,CN
Australia,AU
Canada,CA
Tunisia,CN
India,IN
Viet Nam,CN
Taiwan (Province of China),CN
TÃ¼rkiye,EU
Austria,EU
Netherlands,EU
Ireland,EU
Luxembourg,EU
Switzerland,EU
Spain,EU
France,EU
Eswatini,CN
Sweden,EU
Philippines,CN
Portugal,EU
Gabon,CN
Denmark,EU
Israel,EU
Malaysia,CN
Argentina,BR
Pakistan,CN
Japan,JP
Romania,EU
Georgia,EU
Bulgaria,EU
Lithuania,EU
Hungary,EU
Belgium,EU
Finland,EU
Thailand,CN
Kosovo,EU
Mexico,MX
Brazil,BR
Colombia,CO
Indonesia,CN
United Arab Emirates,CN
Estonia,EU
Slovenia,EU
Sri Lanka,CN
Slovakia,EU
Korea (the Republic of),CN
Greece,EU
Latvia,EU
Malta,EU